neg,neu,pos,compound,Text
0.0,1.0,0.0,0.0,productid b001e4kfg0
0.0,1.0,0.0,0.0,profilenam delmartian
0.0,1.0,0.0,0.0,helpfulnessnumer 1
0.0,1.0,0.0,0.0,helpfulnessdenomin 1
0.0,1.0,0.0,0.0,score 5
0.0,0.58,0.42,0.4404,summari good qualiti dog food
0.0,0.586,0.414,0.9081,text bought sever vital can dog food product found good qualiti product look like stew process meat smell better labrador finicki appreci product better
0.0,1.0,0.0,0.0,productid b00813grg4
0.0,1.0,0.0,0.0,profilenam dll pa
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 1
0.0,1.0,0.0,0.0,summari advertis
0.123,0.773,0.105,-0.1027,text product arriv label jumbo salt peanutsth peanut actual small size unsalt sure error vendor intend repres product jumbo
0.0,1.0,0.0,0.0,productid b000lqoch0
0.0,1.0,0.0,0.0,profilenam natalia corr natalia corr
0.0,1.0,0.0,0.0,helpfulnessnumer 1
0.0,1.0,0.0,0.0,helpfulnessdenomin 1
0.0,1.0,0.0,0.0,score 4
0.0,0.339,0.661,0.5994,summari delight say
0.136,0.65,0.214,0.6249,text confect around centuri light pillowi citru gelatin nut case filbert cut tini squar liber coat powder sugar tini mouth heaven chewi flavor highli recommend yummi treat familiar stori cs lewi lion witch wardrob treat seduc edmund sell brother sister witch
0.0,1.0,0.0,0.0,productid b000ua0qiq
0.0,1.0,0.0,0.0,profilenam karl
0.0,1.0,0.0,0.0,helpfulnessnumer 3
0.0,1.0,0.0,0.0,helpfulnessdenomin 3
0.0,1.0,0.0,0.0,score 2
0.0,1.0,0.0,0.0,summari cough medicin
0.0,0.861,0.139,0.4404,text look secret ingredi robitussin believ found got addit root beer extract order good made cherri soda flavor medicin
0.0,1.0,0.0,0.0,productid b006k2zz7k
0.0,1.0,0.0,0.0,profilenam michael bigham wassir
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,0.328,0.672,0.6249,summari great taffi
0.0,0.478,0.522,0.9186,text great taffi great price wide assort yummi taffi deliveri quick taffi lover deal
0.0,1.0,0.0,0.0,productid b006k2zz7k
0.0,1.0,0.0,0.0,profilenam twoapennyth
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 4
0.0,0.417,0.583,0.4215,summari nice taffi
0.045,0.701,0.254,0.8779,text got wild hair taffi order five pound bag taffi enjoy mani flavor watermelon root beer melon peppermint grape etc complaint bit much redblack licoriceflavor piec particular favorit kid husband last two week would recommend brand taffi delight treat
0.0,1.0,0.0,0.0,productid b006k2zz7k
0.0,1.0,0.0,0.0,profilenam david c sullivan
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,0.3,0.7,0.7906,summari great good expens brand
0.0,0.611,0.389,0.9279,text saltwat taffi great flavor soft chewi candi individu wrap well none candi stuck togeth happen expens version fraling would highli recommend candi serv beachthem parti everyon love
0.0,1.0,0.0,0.0,productid b006k2zz7k
0.0,1.0,0.0,0.0,profilenam pamela g william
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,1.0,0.0,0.0,summari wonder tasti taffi
0.0,0.649,0.351,0.6597,text taffi good soft chewi flavor amaz would definit recommend buy satisfi
0.0,1.0,0.0,0.0,productid b000e7l2r4
0.0,1.0,0.0,0.0,profilenam r jame
0.0,1.0,0.0,0.0,helpfulnessnumer 1
0.0,1.0,0.0,0.0,helpfulnessdenomin 1
0.0,1.0,0.0,0.0,score 5
0.0,0.37,0.63,0.5267,summari yay barley
0.0,0.741,0.259,0.6369,text right im mostli sprout cat eat grass love rotat around wheatgrass rye
0.0,1.0,0.0,0.0,productid b00171apva
0.0,1.0,0.0,0.0,profilenam carol reed
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,1.0,0.0,0.0,summari healthi dog food
0.0,0.707,0.293,0.7003,text healthi dog food good digest also good small puppi dog eat requir amount everi feed
0.0,1.0,0.0,0.0,productid b0001pb9fe
0.0,0.465,0.535,0.3182,profilenam canadian fan
0.0,1.0,0.0,0.0,helpfulnessnumer 1
0.0,1.0,0.0,0.0,helpfulnessdenomin 1
0.0,1.0,0.0,0.0,score 5
0.0,0.488,0.512,0.6369,summari best hot sauc world
0.03,0.795,0.175,0.9307,text dont know cactu tequila uniqu combin ingredi flavour hot sauc make one kind pick bottl trip brought back home us total blown away realiz simpli couldnt find anywher citi bummedbr br magic internet case sauc ecstat itbr br love hot saucei mean realli love hot sauc dont want sauc tastelessli burn throat grab bottl tequila picant gourmet de inclan realiz tast never want use saucebr br thank person incred servic
0.0,1.0,0.0,0.0,productid b0009xlvg0
0.0,1.0,0.0,0.0,profilenam poeng sparkygohom
0.0,1.0,0.0,0.0,helpfulnessnumer 4
0.0,1.0,0.0,0.0,helpfulnessdenomin 4
0.0,1.0,0.0,0.0,score 5
0.0,0.458,0.542,0.7964,summari cat love diet food better regular food
0.153,0.847,0.0,-0.6597,text one boy need lose weight didnt put food floor chubbi guy proteinrich byproduct food higher skinni boy jump higher food sit go stale realli go food chubbi boy lose ounc week
0.0,1.0,0.0,0.0,productid b0009xlvg0
0.0,1.0,0.0,0.0,profilenam lt
0.0,1.0,0.0,0.0,helpfulnessnumer 1
0.0,1.0,0.0,0.0,helpfulnessdenomin 1
0.0,1.0,0.0,0.0,score 1
0.0,0.635,0.365,0.3182,summari cat fan new food
0.0,1.0,0.0,0.0,text cat happili eat felida platinum two year got new bag shape food differ tri new food first put bowl bowl sit full kitti touch food ive notic similar review relat formula chang past unfortun need find new food cat eat
0.0,1.0,0.0,0.0,productid b001gvisjm
0.0,1.0,0.0,0.0,profilenam willi roadi
0.0,1.0,0.0,0.0,helpfulnessnumer 2
0.0,1.0,0.0,0.0,helpfulnessdenomin 2
0.0,1.0,0.0,0.0,score 4
0.0,0.465,0.535,0.3182,summari fresh greasi
0.0,0.427,0.573,0.8555,text good flavor came secur pack fresh delici love twizzler
0.0,1.0,0.0,0.0,productid b001gvisjm
0.605,0.395,0.0,-0.6808,profilenam lynri oh hell
0.0,1.0,0.0,0.0,helpfulnessnumer 4
0.0,1.0,0.0,0.0,helpfulnessdenomin 5
0.0,1.0,0.0,0.0,score 5
0.0,1.0,0.0,0.0,summari strawberri twizzler yummi
0.0,1.0,0.0,0.0,text strawberri twizzler guilti pleasur yummi six pound around son
0.0,1.0,0.0,0.0,productid b001gvisjm
0.0,1.0,0.0,0.0,profilenam brian lee
0.0,1.0,0.0,0.0,helpfulnessnumer 4
0.0,1.0,0.0,0.0,helpfulnessdenomin 5
0.0,1.0,0.0,0.0,score 5
0.0,1.0,0.0,0.0,summari lot twizzler expect
0.0,0.781,0.219,0.6369,text daughter love twizzler shipment six pound realli hit spot exactli would expectsix packag strawberri twizzler
0.0,1.0,0.0,0.0,productid b001gvisjm
0.0,1.0,0.0,0.0,profilenam erica neatheri
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 2
0.608,0.392,0.0,-0.4767,summari poor tast
0.0,0.484,0.516,0.9313,text love eat good watch tv look movi sweet like transfer zip lock baggi stay fresh take time eat
0.0,1.0,0.0,0.0,productid b001gvisjm
0.0,1.0,0.0,0.0,profilenam becca
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,0.192,0.808,0.6369,summari love
0.0,0.565,0.435,0.6597,text satisfi twizzler purchas share other enjoy definit order
0.0,1.0,0.0,0.0,productid b001gvisjm
0.0,1.0,0.0,0.0,profilenam wolfee1
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,0.22,0.78,0.7964,summari great sweet candi
0.0,0.884,0.116,0.8316,text twizzler strawberri childhood favorit candi made lancast pennsylvania candi inc one oldest confectioneri firm unit state subsidiari hershey compani compani establish 1845 young smyli also make appl licoric twist green color blue raspberri licoric twist like allbr br keep dri cool place recommend put fridg accord guin book record longest licoric twist ever made measur 1200 feet 370 weight 100 pound 45 kg made candi inc recordbreak twist becam guin world record juli 19 1998 product kosher thank
0.0,1.0,0.0,0.0,productid b001gvisjm
0.0,1.0,0.0,0.0,profilenam greg
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,1.0,0.0,0.0,summari home deliv twizler
0.0,0.764,0.236,0.5719,text candi deliv fast purchas reason price home bound unabl get store perfect
0.0,1.0,0.0,0.0,productid b001gvisjm
0.0,1.0,0.0,0.0,profilenam mom2emma
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,0.465,0.535,0.3182,summari alway fresh
0.0,0.79,0.21,0.6249,text husband twizzler addict weve bought mani time amazon govern employe live oversea cant get countri assign theyv alway fresh tasti pack well arriv time manner
0.0,1.0,0.0,0.0,productid b001gvisjm
0.0,1.0,0.0,0.0,profilenam tammi anderson
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,1.0,0.0,0.0,summari twizzler
0.0,0.651,0.349,0.8658,text bought husband current oversea love appar staff like alsobr gener amount twizzler 16ounc bag well worth price hrefhttpwwwamazoncomgpproductb001gvisjmtwizzl strawberri 16ounc bag pack 6a
0.0,1.0,0.0,0.0,productid b001gvisjm
0.0,1.0,0.0,0.0,profilenam charl brown
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,1.0,0.0,0.0,summari delici product
0.0,0.574,0.426,0.8004,text rememb buy candi kid qualiti hasnt drop year still superb product wont disappoint
0.0,1.0,0.0,0.0,productid b001gvisjm
0.0,1.0,0.0,0.0,profilenam mare
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,1.0,0.0,0.0,summari twizzler
0.158,0.526,0.316,0.4767,text love candi weight watcher cut back still crave
0.0,1.0,0.0,0.0,productid b001gvisjm
0.0,1.0,0.0,0.0,profilenam cabanaugh jilli pepper
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,1.0,0.0,0.0,summari pleas sell mexico
0.061,0.833,0.106,0.296,text live us 7 yr miss twizzler go back visit someon visit alway stock say yumbr sell mexico faith buyer often im abl buy right
0.0,1.0,0.0,0.0,productid b001gvisjm
0.0,1.0,0.0,0.0,profilenam deborah linzer cat ladi
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
0.0,1.0,0.0,0.0,score 5
0.0,1.0,0.0,0.0,summari twizzler strawberri
0.0,1.0,0.0,0.0,text product receiv advertisedbr br hrefhttpwwwamazoncomgpproductb001gvisjmtwizzl strawberri 16ounc bag pack 6a
0.0,1.0,0.0,0.0,productid b001gvisjm
0.0,1.0,0.0,0.0,profilenam lady21
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 1
0.0,1.0,0.0,0.0,score 1
0.0,1.0,0.0,0.0,summari nasti flavor
0.0,1.0,0.0,0.0,text candi red flavor plan chewi would never buy
0.0,1.0,0.0,0.0,productid b001gvisjm
0.0,1.0,0.0,0.0,profilenam heather dube
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 1
0.0,1.0,0.0,0.0,score 4
0.0,0.253,0.747,0.7096,summari great bargain price
0.058,0.579,0.364,0.8126,text glad amazon carri batteri hard time find elsewher uniqu size need garag door openerbr great deal price
0.0,1.0,0.0,0.0,productid b00144c10
0.0,1.0,0.0,0.0,profilenam daisyh
0.0,1.0,0.0,0.0,helpfulnessnumer 0
0.0,1.0,0.0,0.0,helpfulnessdenomin 0
