Stemmed Text
productid b001e4kfg0
profilenam delmartian
helpfulnessnumer 1
helpfulnessdenomin 1
score 5
summari good qualiti dog food
text bought sever vital can dog food product found good qualiti product look like stew process meat smell better labrador finicki appreci product better
productid b00813grg4
profilenam dll pa
helpfulnessnumer 0
helpfulnessdenomin 0
score 1
summari advertis
text product arriv label jumbo salt peanutsth peanut actual small size unsalt sure error vendor intend repres product jumbo
productid b000lqoch0
profilenam natalia corr natalia corr
helpfulnessnumer 1
helpfulnessdenomin 1
score 4
summari delight say
text confect around centuri light pillowi citru gelatin nut case filbert cut tini squar liber coat powder sugar tini mouth heaven chewi flavor highli recommend yummi treat familiar stori cs lewi lion witch wardrob treat seduc edmund sell brother sister witch
productid b000ua0qiq
profilenam karl
helpfulnessnumer 3
helpfulnessdenomin 3
score 2
summari cough medicin
text look secret ingredi robitussin believ found got addit root beer extract order good made cherri soda flavor medicin
productid b006k2zz7k
profilenam michael bigham wassir
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari great taffi
text great taffi great price wide assort yummi taffi deliveri quick taffi lover deal
productid b006k2zz7k
profilenam twoapennyth
helpfulnessnumer 0
helpfulnessdenomin 0
score 4
summari nice taffi
text got wild hair taffi order five pound bag taffi enjoy mani flavor watermelon root beer melon peppermint grape etc complaint bit much redblack licoriceflavor piec particular favorit kid husband last two week would recommend brand taffi delight treat
productid b006k2zz7k
profilenam david c sullivan
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari great good expens brand
text saltwat taffi great flavor soft chewi candi individu wrap well none candi stuck togeth happen expens version fraling would highli recommend candi serv beachthem parti everyon love
productid b006k2zz7k
profilenam pamela g william
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari wonder tasti taffi
text taffi good soft chewi flavor amaz would definit recommend buy satisfi
productid b000e7l2r4
profilenam r jame
helpfulnessnumer 1
helpfulnessdenomin 1
score 5
summari yay barley
text right im mostli sprout cat eat grass love rotat around wheatgrass rye
productid b00171apva
profilenam carol reed
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari healthi dog food
text healthi dog food good digest also good small puppi dog eat requir amount everi feed
productid b0001pb9fe
profilenam canadian fan
helpfulnessnumer 1
helpfulnessdenomin 1
score 5
summari best hot sauc world
text dont know cactu tequila uniqu combin ingredi flavour hot sauc make one kind pick bottl trip brought back home us total blown away realiz simpli couldnt find anywher citi bummedbr br magic internet case sauc ecstat itbr br love hot saucei mean realli love hot sauc dont want sauc tastelessli burn throat grab bottl tequila picant gourmet de inclan realiz tast never want use saucebr br thank person incred servic
productid b0009xlvg0
profilenam poeng sparkygohom
helpfulnessnumer 4
helpfulnessdenomin 4
score 5
summari cat love diet food better regular food
text one boy need lose weight didnt put food floor chubbi guy proteinrich byproduct food higher skinni boy jump higher food sit go stale realli go food chubbi boy lose ounc week
productid b0009xlvg0
profilenam lt
helpfulnessnumer 1
helpfulnessdenomin 1
score 1
summari cat fan new food
text cat happili eat felida platinum two year got new bag shape food differ tri new food first put bowl bowl sit full kitti touch food ive notic similar review relat formula chang past unfortun need find new food cat eat
productid b001gvisjm
profilenam willi roadi
helpfulnessnumer 2
helpfulnessdenomin 2
score 4
summari fresh greasi
text good flavor came secur pack fresh delici love twizzler
productid b001gvisjm
profilenam lynri oh hell
helpfulnessnumer 4
helpfulnessdenomin 5
score 5
summari strawberri twizzler yummi
text strawberri twizzler guilti pleasur yummi six pound around son
productid b001gvisjm
profilenam brian lee
helpfulnessnumer 4
helpfulnessdenomin 5
score 5
summari lot twizzler expect
text daughter love twizzler shipment six pound realli hit spot exactli would expectsix packag strawberri twizzler
productid b001gvisjm
profilenam erica neatheri
helpfulnessnumer 0
helpfulnessdenomin 0
score 2
summari poor tast
text love eat good watch tv look movi sweet like transfer zip lock baggi stay fresh take time eat
productid b001gvisjm
profilenam becca
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari love
text satisfi twizzler purchas share other enjoy definit order
productid b001gvisjm
profilenam wolfee1
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari great sweet candi
text twizzler strawberri childhood favorit candi made lancast pennsylvania candi inc one oldest confectioneri firm unit state subsidiari hershey compani compani establish 1845 young smyli also make appl licoric twist green color blue raspberri licoric twist like allbr br keep dri cool place recommend put fridg accord guin book record longest licoric twist ever made measur 1200 feet 370 weight 100 pound 45 kg made candi inc recordbreak twist becam guin world record juli 19 1998 product kosher thank
productid b001gvisjm
profilenam greg
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari home deliv twizler
text candi deliv fast purchas reason price home bound unabl get store perfect
productid b001gvisjm
profilenam mom2emma
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari alway fresh
text husband twizzler addict weve bought mani time amazon govern employe live oversea cant get countri assign theyv alway fresh tasti pack well arriv time manner
productid b001gvisjm
profilenam tammi anderson
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari twizzler
text bought husband current oversea love appar staff like alsobr gener amount twizzler 16ounc bag well worth price hrefhttpwwwamazoncomgpproductb001gvisjmtwizzl strawberri 16ounc bag pack 6a
productid b001gvisjm
profilenam charl brown
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari delici product
text rememb buy candi kid qualiti hasnt drop year still superb product wont disappoint
productid b001gvisjm
profilenam mare
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari twizzler
text love candi weight watcher cut back still crave
productid b001gvisjm
profilenam cabanaugh jilli pepper
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari pleas sell mexico
text live us 7 yr miss twizzler go back visit someon visit alway stock say yumbr sell mexico faith buyer often im abl buy right
productid b001gvisjm
profilenam deborah linzer cat ladi
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari twizzler strawberri
text product receiv advertisedbr br hrefhttpwwwamazoncomgpproductb001gvisjmtwizzl strawberri 16ounc bag pack 6a
productid b001gvisjm
profilenam lady21
helpfulnessnumer 0
helpfulnessdenomin 1
score 1
summari nasti flavor
text candi red flavor plan chewi would never buy
productid b001gvisjm
profilenam heather dube
helpfulnessnumer 0
helpfulnessdenomin 1
score 4
summari great bargain price
text glad amazon carri batteri hard time find elsewher uniqu size need garag door openerbr great deal price
productid b00144c10
profilenam daisyh
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari yummi
text got mum diabet need watch sugar intak father simpli choos limit unnecessari sugar intak she one sweet tooth love toffe would never guess theyr sugarfre great eat pretti much guilt free impress ive order w dark chocol take offic ill eat instead snack sugari sweetsbr excel
productid b0001pb9fi
profilenam canadian fan
helpfulnessnumer 1
helpfulnessdenomin 1
score 5
summari best hot sauc world
text dont know cactu tequila uniqu combin ingredi flavour hot sauc make one kind pick bottl trip brought back home us total blown away realiz simpli couldnt find anywher citi bummedbr br magic internet case sauc ecstat itbr br love hot saucei mean realli love hot sauc dont want sauc tastelessli burn throat grab bottl tequila picant gourmet de inclan realiz tast never want use saucebr br thank person incred servic
productid b003f6uo7k
profilenam sherril
helpfulnessnumer 0
helpfulnessdenomin 0
score 5
summari great machin
text never huge coffe fan howev mother purchas littl machin talk tri latt macciato coffe shop better one like product usual noncoffe drinkerbr littl dolch guesto machin super easi use prepar realli good coffeelattecappuccinoetc less minut water heat would recommend dolc gusto anyon good price iam get one
productid b003f6uo7k
profilenam molli v smith staral
helpfulnessnumer 0
helpfulnessdenomin 1
score 5
summari tast
text offer great price great tast thank amazon sell productbr br staral
productid b001eo5qw8
profilenam potter
helpfulnessnumer 19
helpfulnessdenomin 19
score 4
summari best instant oatmeal
text mccann instant oatmeal great must oatmeal scrape togeth two three minut prepar escap fact howev even best instant oatmeal nowher near good even store brand oatmeal requir stovetop prepar still mccann good get instant oatmeal even better organ allnatur brand tri varieti mccann varieti pack tast good prepar microwav ad boil water conveni extrem time issuebr br mccann use actual cane sugar instead high fructos corn syrup help decid buy product real sugar tast better harm stuff one thing like though mccann use thicken oat plu water plu heat make creami tasti oatmeal without need guar gum conveni product mayb guar gum sit bowl instant mccann becom thick gluey
productid b001eo5qw8
profilenam megan bad nicknam
helpfulnessnumer 13
helpfulnessdenomin 13
score 4
summari good instant
text good instant oatmeal best oatmeal brand use cane sugar instead high fructous corn syrup better sweet doctor say form sugar better great cold morn dont time make mccann steel cut oat appl cinnamon best mapl brown sugar regular good plu dont requir doctor actual tell three flavor apart
productid b001eo5qw8
profilenam corbyjam
helpfulnessnumer 9
helpfulnessdenomin 9
score 5
summari great irish oatmeal hurri
text instant oatmeal becom soggi minut water hit bowl mccann instant oatmeal hold textur excel flavor good time mccann regular oat meal excel may take bit longer prepar time morn best instant brand ive ever eaten close second noninst varietybr br mccann instant irish oatmeal varieti pack regular appl cinnamon mapl brown sugar 10count box pack 6
productid b001eo5qw8
profilenam j ryan
helpfulnessnumer 3
helpfulnessdenomin 3
score 4
summari satisfi
text mccann instant irish oatmeal varieti pack regular appl cinnamon mapl brown sugar 10count box pack 6br br im fan mccann steelcut oat thought id give instant varieti tri found hardi meal sweet great folk like postbariatr surgeri need food palat easili digest fiber wont make bloat
productid b001eo5qw8
profilenam abbi chase gluten free
helpfulnessnumer 2
